Network name,Number of nodes,Number of edges,Density,Average Degree,Standarddeviation degree,Transitivity,Average Shortest Path,Diameter,Power law exponent,small-worldness coefficient,p method 1,p method 2
N100_tep-1-1-0.01,100,1911,0.38606060606060605,38.22,9.326928754954656,0.4293493382089908,1.613939393939394,2,-0.1354543632529953,-0.10623625550122351,0.38606060606060605,0.38606060606060605
N100_tep-1-1-0.1,100,2505,0.5060606060606061,50.1,24.504081292715302,0.7329725914598283,1.5046464646464646,3,-0.006002159583862414,-0.45068581934512864,0.5060606060606061,0.5060606060606061
N100_tep-1-1-1.0,100,2712,0.5478787878787879,54.24,28.764603247741835,0.8392900402138277,1.3074565883554647,2,,-0.410026803290799,0.5478787878787879,0.5478787878787879
N100_tep-1-10-0.01,100,1809,0.3654545454545455,36.18,11.788451976404705,0.468769921659182,1.635959595959596,3,0.010474222530498274,-0.2797150380833725,0.3654545454545455,0.3654545454545455
N100_tep-1-10-0.1,100,2428,0.4905050505050505,48.56,24.69628312115003,0.7199169698090717,1.5005153576582149,3,,-0.49738546464645306,0.4905050505050505,0.49050505050505055
N100_tep-1-10-1.0,100,2822,0.5701010101010101,56.44,28.945921992570906,0.8688346063676926,1.2628004179728318,2,,-0.39038326135268275,0.5701010101010101,0.5701010101010101
N100_tep-1-13-0.01,100,1861,0.37595959595959594,37.22,8.30130110283924,0.41965533302282254,1.624040404040404,2,0.3336230108558304,-0.08031874276910544,0.37595959595959594,0.37595959595959594
N100_tep-1-13-0.1,100,2435,0.4919191919191919,48.7,24.793749212251058,0.7280952575466688,1.5087610801896516,3,,-0.4663745344574026,0.4919191919191919,0.4919191919191919
N100_tep-1-13-1.0,100,2784,0.5624242424242424,55.68,29.434972396793583,0.8927742265405267,1.2727272727272727,2,,-0.4439235351844997,0.5624242424242424,0.5624242424242424
N100_tep-1-14-0.01,100,1827,0.3690909090909091,36.54,9.81470325583,0.4335608189482136,1.6309090909090909,2,-0.21859379268201648,-0.15508132407888542,0.3690909090909091,0.3690909090909091
N100_tep-1-14-0.1,100,2428,0.4905050505050505,48.56,24.342275982331643,0.6888692859554937,1.5011337868480725,3,,-0.4058508148932265,0.4905050505050505,0.49050505050505055
N100_tep-1-14-1.0,100,2759,0.5573737373737374,55.18,28.7358243313116,0.8403522566441264,1.3262515262515262,2,,-0.4204972782974785,0.5573737373737374,0.5573737373737374
N100_tep-1-16-0.01,100,1819,0.36747474747474745,36.38,11.151484206149423,0.4513135148921699,1.6327272727272728,3,-0.30435427697168577,-0.20589338646001853,0.36747474747474745,0.3674747474747475
N100_tep-1-16-0.1,100,2410,0.4868686868686869,48.2,24.400409832623712,0.7092550915893842,1.5171717171717172,3,0.12153500430584196,-0.501340864335889,0.4868686868686869,0.4868686868686869
N100_tep-1-16-1.0,100,2714,0.5482828282828283,54.28,28.550684755360948,0.8091433380628942,1.3372405372405372,2,,-0.37523883050071016,0.5482828282828283,0.5482828282828283
N100_tep-1-17-0.01,100,1883,0.3804040404040404,37.66,13.468645069196826,0.5070357613858978,1.6218181818181818,3,0.08363954566341603,-0.3574546234888327,0.3804040404040404,0.38040404040404036
N100_tep-1-17-0.1,100,2421,0.4890909090909091,48.42,23.568275286919064,0.7014525484475056,1.518181818181818,3,0.08469926928255135,-0.4340721124561193,0.4890909090909091,0.48909090909090913
N100_tep-1-17-1.0,100,2952,0.5963636363636363,59.04,28.386236101322066,0.852794828539431,1.2629213483146067,2,,-0.31591969894888683,0.5963636363636363,0.5963636363636363
N100_tep-1-18-0.01,100,1853,0.37434343434343437,37.06,11.657461130108905,0.4640149971472818,1.6266666666666667,3,0.005920323442803057,-0.21109049895499488,0.37434343434343437,0.37434343434343437
N100_tep-1-18-0.1,100,2407,0.4862626262626263,48.14,24.340509444134486,0.7066161619691241,1.5073180787466502,3,,-0.4312829838797497,0.4862626262626263,0.4862626262626263
N100_tep-1-18-1.0,100,3040,0.6141414141414141,60.8,28.429913823295347,0.8678202560698454,1.2576312576312576,2,,-0.324294543382345,0.6141414141414141,0.6141414141414141
